Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.52932078734773
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.44325079724317
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.54563391452524
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.25815535245397
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.43438547917532
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.66211429318122
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.71117031918743
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786295
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441713
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.80247508698307
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.2344800100251
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.52772882563164
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.75927538572495
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.10747354764283
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.6962129956236
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961300692
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026111729
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062051633
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.11580585015537
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418774801069
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.16906941399594
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003272621974
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.96284065200393
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.55110013131713
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.1127009643968
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389036563
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923175674
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.6333560141928
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572085631501
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523523879646
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891064527985
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016246966075
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273015673
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.51960241928145
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784001519046
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928860981053
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133394836575
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.179341237614
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.21458328772866
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.85698948061395
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351908680133
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.53929481479082
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.93555934032696
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485035775572
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.5572340398235
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147645898824
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411078714
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096470098
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.04473025177862
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793052489
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.658314681842
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476487414
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.362081322241885
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093139413
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569466695
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576215627125
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524456202
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334295354
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341217325
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.06636292972274
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381087524
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.1282399929386
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.92292493661097
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.06653050329265
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.63875270925445
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486061054
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454568505992
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872483901
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.05054809363546
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.86835620425342
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420492964254
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474355678
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935711917164
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403297744
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505746530285
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.30297460101602
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193197189
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578300381
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.97357530080251
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669925908357
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.62943414987132
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435328532634
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803252397
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.28345491474454
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.311838106628
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.76143970087224
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771352873347
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276051239
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624375675698
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.32480651562713
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.03711265544786
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016915662245
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607016773296
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547930992089
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.385487919734
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047008686
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250631593867
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067384048
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796320940979
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769493913552
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.10730645744061
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208244536
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515319707
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535105622
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.02445130071476
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659163038
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.61977241404603
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.796524806166
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601648993299
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294096442
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714448676
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.37240510655704
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699200544
84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232252967
49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247148756359
34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185255483
49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.63536897966003
83,50,Rural,Regular,7,3.66,Evening,Premium,100,376.3000600585162
88,5,Urban,Silver,89,3.59,Night,Economy,27,70.20380336705749
90,71,Suburban,Gold,88,3.84,Morning,Economy,167,451.6848649701074
65,5,Rural,Silver,24,3.54,Night,Economy,119,301.40392677127403
73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,153.39607111804412
85,62,Suburban,Silver,54,3.78,Morning,Economy,114,339.66230419418656
65,27,Rural,Gold,62,3.54,Night,Premium,162,733.4425366578176
74,42,Urban,Gold,88,3.5,Evening,Economy,77,203.8363809804033
41,7,Rural,Gold,68,4.3,Evening,Premium,66,284.5088586099128
79,23,Urban,Gold,88,3.88,Night,Economy,164,492.11345835908634
53,7,Urban,Silver,64,4.55,Night,Premium,10,86.19117981050438
35,14,Urban,Silver,74,5.0,Night,Premium,175,727.8809447636283
53,40,Rural,Gold,79,3.66,Evening,Premium,30,158.65264164620277
36,23,Urban,Silver,42,4.66,Morning,Economy,14,44.52503661261306
38,25,Urban,Regular,2,4.24,Morning,Premium,128,452.4258268814717
52,36,Rural,Silver,1,4.52,Morning,Premium,36,152.64047921471024
91,64,Suburban,Regular,26,4.56,Morning,Premium,96,420.2245689053783
87,5,Urban,Silver,59,4.32,Night,Economy,42,151.35930066309265
96,20,Suburban,Gold,88,3.6,Evening,Premium,71,242.27196569085137
83,59,Urban,Gold,8,4.85,Morning,Economy,31,119.0485543701777
48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,472.56954081275165
65,19,Suburban,Silver,24,4.59,Evening,Economy,96,334.6493506052282
79,29,Suburban,Silver,0,4.86,Morning,Economy,127,406.08552566041345
100,22,Suburban,Silver,45,4.23,Night,Premium,141,551.365137615676
73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,534.0181945871103
79,67,Rural,Gold,56,4.01,Evening,Premium,151,501.2363000548165
88,55,Rural,Regular,56,4.0,Night,Premium,26,159.60691863182956
76,34,Suburban,Silver,10,4.92,Morning,Economy,103,359.8010509571677
49,30,Suburban,Silver,80,3.74,Night,Economy,85,348.6695624527248
100,64,Rural,Regular,7,4.89,Night,Premium,115,490.50407597042386
87,26,Rural,Gold,63,4.2,Morning,Premium,118,485.683239513509
22,5,Rural,Silver,93,4.85,Evening,Economy,99,424.9275101964327
21,11,Rural,Silver,23,3.76,Afternoon,Economy,12,40.442890652890384
93,57,Suburban,Regular,34,4.89,Morning,Premium,80,258.424915281181
28,15,Rural,Gold,90,4.25,Night,Premium,177,511.92939099380595
97,7,Urban,Silver,22,3.74,Afternoon,Premium,147,441.74670095471794
48,12,Urban,Silver,51,4.63,Night,Premium,32,175.5180543386476
70,37,Urban,Silver,10,3.65,Night,Premium,168,658.5834276725151
78,12,Rural,Silver,99,4.3,Afternoon,Economy,95,299.2909931126892
25,7,Rural,Regular,24,3.85,Evening,Premium,144,494.8027992189699
24,9,Urban,Gold,6,4.05,Afternoon,Premium,69,223.51901195083735
92,37,Rural,Silver,7,4.92,Morning,Premium,103,434.57105082121734
43,33,Rural,Gold,16,4.01,Morning,Premium,159,630.4284012724294
96,23,Urban,Gold,8,4.23,Morning,Premium,90,445.1254111184949
88,46,Rural,Gold,35,4.89,Afternoon,Premium,72,361.98552095653855
83,43,Suburban,Regular,20,3.59,Morning,Economy,63,267.28219711727195
50,29,Urban,Regular,2,4.81,Morning,Economy,143,518.9547629602604
97,75,Urban,Regular,15,4.94,Afternoon,Economy,163,575.4934491747886
84,24,Suburban,Regular,39,4.08,Afternoon,Economy,86,349.4432162449335
68,40,Suburban,Silver,58,4.64,Morning,Premium,68,279.2349662242834
77,30,Urban,Regular,99,4.7,Evening,Premium,179,689.7483154802385
82,67,Urban,Regular,13,4.43,Afternoon,Economy,33,88.76294359232648
21,8,Suburban,Gold,37,3.71,Evening,Premium,171,621.7963494961118
75,24,Rural,Regular,44,3.79,Night,Premium,72,307.621949405299
61,9,Urban,Gold,74,3.98,Evening,Premium,32,172.41053126646165
90,13,Suburban,Regular,24,3.73,Afternoon,Economy,126,444.2453020895959
100,21,Suburban,Regular,20,3.52,Night,Premium,163,556.8967118375435
93,31,Suburban,Gold,13,3.58,Afternoon,Premium,101,355.3245754797394
92,14,Urban,Silver,57,3.73,Morning,Premium,133,474.99773906008016
61,12,Rural,Gold,59,4.72,Afternoon,Premium,178,581.9712306098094
53,12,Suburban,Gold,79,3.6,Night,Premium,154,663.4393972369916
55,21,Urban,Regular,20,3.56,Night,Premium,134,519.469492374694
57,45,Rural,Gold,78,4.43,Afternoon,Premium,112,397.6919501475396
34,8,Suburban,Silver,51,4.09,Afternoon,Premium,130,388.1122298927073
50,11,Suburban,Silver,19,4.87,Morning,Economy,144,591.1000759572743
35,22,Rural,Silver,82,3.79,Afternoon,Economy,174,586.7988633141081
43,14,Suburban,Regular,1,3.53,Night,Premium,134,648.9097429236178
50,25,Suburban,Silver,19,4.32,Night,Economy,176,746.3391324597457
55,19,Urban,Regular,64,4.34,Morning,Premium,129,555.0976877626003
93,67,Urban,Silver,21,4.88,Night,Premium,87,417.91314129158997
94,69,Urban,Silver,86,4.12,Morning,Premium,18,97.80093621671637
70,60,Urban,Regular,57,4.05,Afternoon,Premium,43,193.08911199878557
36,25,Suburban,Regular,61,3.64,Night,Economy,132,492.4640116460618
37,9,Suburban,Silver,73,4.8,Morning,Economy,124,408.81562882076287
68,46,Urban,Gold,8,4.21,Afternoon,Economy,116,364.16179480772485
77,15,Suburban,Regular,47,4.47,Morning,Economy,66,228.64349787316
27,12,Suburban,Silver,64,4.7,Evening,Economy,149,667.9464280068869
90,56,Suburban,Silver,61,4.38,Night,Premium,91,410.34270896598935
46,23,Suburban,Regular,19,4.92,Afternoon,Economy,169,710.4192641684332
96,80,Urban,Regular,47,3.77,Morning,Economy,70,177.20306582722415
80,6,Rural,Silver,43,4.81,Night,Economy,24,74.32837977574499
80,31,Suburban,Silver,91,4.61,Evening,Premium,127,392.30276005302534
64,25,Suburban,Silver,85,4.46,Afternoon,Premium,37,168.61019430479575
57,42,Rural,Silver,36,3.59,Afternoon,Premium,167,587.2581373063812
52,7,Rural,Silver,57,4.82,Night,Economy,180,563.9803272683639
69,56,Urban,Regular,73,4.02,Night,Premium,116,352.3474982568331
67,54,Suburban,Regular,53,3.67,Morning,Economy,110,415.3075369486595
25,7,Rural,Silver,13,4.07,Afternoon,Premium,60,204.215843297379
80,35,Rural,Regular,29,4.49,Night,Economy,79,319.6520700676685
73,6,Suburban,Silver,5,4.03,Night,Premium,71,362.05333073474793
24,6,Urban,Regular,65,4.29,Afternoon,Premium,106,387.47553780901916
37,14,Rural,Gold,18,4.36,Evening,Economy,85,348.8532987245396
27,6,Rural,Regular,74,4.75,Afternoon,Premium,157,732.2985126943609
23,11,Urban,Regular,11,4.86,Afternoon,Economy,133,343.6721333865543
42,8,Rural,Gold,12,4.79,Morning,Premium,166,599.7162532373392
74,39,Urban,Silver,11,3.65,Morning,Economy,173,484.75453888236336
68,30,Urban,Regular,28,4.69,Night,Premium,134,581.1514565564086
59,9,Suburban,Silver,30,4.83,Afternoon,Economy,140,603.3651642705413
89,75,Rural,Silver,76,4.39,Evening,Economy,110,369.8546414878244
81,35,Suburban,Regular,45,4.11,Night,Economy,174,708.8801421484817
33,8,Suburban,Regular,74,4.52,Morning,Premium,56,205.83755050869485
75,28,Urban,Gold,49,4.46,Night,Economy,163,684.5607033083106
87,48,Suburban,Silver,95,4.73,Morning,Economy,162,453.2541298779704
56,37,Suburban,Silver,96,3.83,Afternoon,Premium,130,412.5848379812361
75,32,Urban,Silver,20,3.69,Evening,Premium,96,440.4442377359072
99,54,Rural,Silver,96,3.77,Afternoon,Premium,61,241.64071137767894
33,16,Rural,Regular,81,4.08,Afternoon,Premium,50,201.29253189374313
41,28,Rural,Gold,89,4.47,Evening,Premium,45,220.05114029296504
55,19,Suburban,Silver,74,3.51,Morning,Economy,173,702.9134159653358
93,51,Rural,Silver,12,4.98,Morning,Premium,90,431.42166025583447
54,35,Urban,Silver,11,4.49,Afternoon,Premium,96,466.8626810645626
34,20,Urban,Gold,21,4.15,Morning,Premium,158,445.1263611668488
86,18,Suburban,Silver,61,4.3,Afternoon,Premium,126,441.6378571357946
85,27,Suburban,Gold,8,4.11,Night,Premium,157,669.5210116683382
74,5,Suburban,Regular,80,3.63,Night,Economy,134,354.3852115042604
63,53,Rural,Gold,33,4.33,Afternoon,Economy,175,489.7125242986789
55,13,Suburban,Silver,45,3.71,Morning,Premium,40,222.56858200356248
100,66,Suburban,Gold,27,3.53,Evening,Premium,106,412.2556067980849
51,27,Urban,Gold,86,3.82,Evening,Premium,152,472.21573527678265
37,10,Urban,Silver,33,4.86,Afternoon,Economy,44,179.93988033973832
99,71,Suburban,Gold,3,4.63,Morning,Premium,100,308.9111533232364
54,24,Rural,Silver,85,3.79,Evening,Economy,102,306.3142432341152
30,7,Rural,Gold,57,4.27,Morning,Premium,69,224.46487829301583
84,56,Urban,Silver,71,4.56,Evening,Premium,15,101.07378646994937
49,14,Suburban,Silver,55,4.43,Morning,Premium,131,633.4966221375331
86,10,Urban,Silver,98,4.8,Morning,Economy,18,62.87509273644356
48,24,Rural,Gold,17,3.98,Afternoon,Economy,29,92.03104706108972
67,18,Urban,Silver,78,3.81,Morning,Premium,22,106.73589264143021
100,16,Rural,Gold,96,3.65,Night,Premium,163,560.6703257140985
79,7,Rural,Silver,31,4.82,Night,Economy,100,322.9000694955284
99,9,Rural,Silver,33,4.98,Afternoon,Economy,110,292.33936093553586
34,24,Urban,Silver,3,4.41,Morning,Economy,97,242.75171700488073
54,21,Urban,Silver,23,4.44,Evening,Premium,136,442.7796305981407
77,43,Suburban,Regular,73,4.07,Afternoon,Premium,131,505.54671645728143
80,21,Urban,Regular,85,4.21,Morning,Premium,146,474.9171617926677
74,54,Urban,Regular,16,4.35,Afternoon,Premium,147,617.434678434942
57,38,Urban,Regular,31,3.97,Morning,Premium,64,294.85536994650215
97,66,Urban,Silver,90,3.6,Evening,Premium,150,717.467322019467
52,14,Suburban,Gold,97,4.83,Evening,Premium,66,266.9772170141728
51,37,Rural,Regular,34,4.64,Afternoon,Economy,100,383.3711770715268
87,52,Urban,Gold,15,3.57,Night,Economy,66,266.4336179135411
91,42,Suburban,Silver,76,4.96,Morning,Economy,86,336.39439243010713
85,34,Rural,Regular,66,4.59,Morning,Premium,163,764.8593556145701
57,21,Rural,Silver,28,4.93,Night,Economy,141,588.6941797749441
28,8,Urban,Regular,67,3.78,Afternoon,Premium,58,305.24266766473113
58,30,Urban,Regular,32,4.14,Night,Economy,75,256.37380365626416
31,9,Rural,Gold,18,4.42,Morning,Premium,114,461.0193485856391
27,11,Suburban,Gold,88,4.5,Evening,Premium,144,581.7472844259253
90,75,Urban,Gold,88,4.1,Afternoon,Economy,106,472.5465909334413
54,8,Suburban,Regular,41,3.89,Morning,Economy,168,573.4835718398938
23,9,Suburban,Silver,50,3.84,Evening,Premium,34,192.38502219616436
94,64,Urban,Regular,62,4.87,Night,Economy,166,744.0359811402852
86,20,Suburban,Silver,51,3.75,Morning,Premium,110,412.25746306035046
79,55,Suburban,Regular,91,4.39,Morning,Economy,48,189.56056497077722
73,13,Urban,Regular,93,3.95,Night,Economy,90,357.0434721850994
74,23,Urban,Regular,45,4.07,Morning,Premium,99,417.1740953777763
26,11,Urban,Gold,10,4.22,Morning,Premium,69,314.84471031916905
99,30,Urban,Regular,74,4.21,Morning,Premium,160,629.9546011362719
80,42,Urban,Gold,85,4.22,Night,Economy,131,473.56175400354476
78,35,Rural,Regular,5,4.35,Evening,Premium,100,317.88095784682014
63,6,Urban,Gold,29,4.79,Evening,Premium,24,132.49921949173307
25,8,Rural,Regular,30,4.44,Night,Economy,115,430.78585097815426
